OPE ID,School,State,Zip Code,School Type,Recipients,# of Loans Originated,$ of Loans Originated,# of Disbursements,$ of Disbursements,
00217100,MASSACHUSETTS BAY COMMUNITY COLLEGE,MA,024815399,Public,0,0,0,0,0,
00217200,MOUNT WACHUSETT COMMUNITY COLLEGE,MA,014401000,Public,7,7,40619,10,40619,
00217300,NORTH SHORE COMMUNITY COLLEGE,MA,019234093,Public,7,11,80297,22,80297,
00217400,NORTHERN ESSEX COMMUNITY COLLEGE,MA,018302399,Public,9,9,39562,18,39562,
00217500,QUINSIGAMOND COMMUNITY COLLEGE,MA,016062092,Public,8,8,31308,11,31308,
00217600,BRISTOL COMMUNITY COLLEGE,MA,027207399,Public,1,2,5239,4,5239,
00217700,MASSASOIT COMMUNITY COLLEGE,MA,023023996,Public,6,6,13775,12,13775,
00217800,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,MA,021394307,Private-Nonprofit,140,142,3925895,283,3925895,
00218000,MASSACHUSETTS COLLEGE OF ART AND DESIGN,MA,021155803,Public,186,197,2920212,351,2920212,
00218100,MASSACHUSETTS MARITIME ACADEMY,MA,025323400,Public,144,148,2046540,271,2046540,
00218300,BRIDGEWATER STATE UNIVERSITY,MA,023250001,Public,576,642,5471493,1179,5471493,
00218400,FITCHBURG STATE UNIVERSITY,MA,014202697,Public,336,338,2823442,608,2823442,
00218500,FRAMINGHAM STATE UNIVERSITY,MA,017022471,Public,282,302,2715180,515,2715180,
00218700,MASSACHUSETTS COLLEGE OF LIBERAL ARTS,MA,012474100,Public,135,148,1204965,261,1204965,
00218800,SALEM STATE UNIVERSITY,MA,019705353,Public,519,539,5402872,979,5402872,
00218900,WESTFIELD STATE UNIVERSITY,MA,010861630,Public,406,406,3740183,751,3740183,
00219000,WORCESTER STATE UNIVERSITY,MA,016022597,Public,310,347,2994736,680,2994736,
00219200,MOUNT HOLYOKE COLLEGE,MA,010751492,Private-Nonprofit,160,175,2811158,304,2811158,
