OPE ID,School,State,Zip Code,School Type,Recipients,# of Loans Originated,$ of Loans Originated,# of Disbursements,$ of Disbursements
00224300,CENTRAL MICHIGAN UNIVERSITY,MI,488590001,PUBLIC,1997,2063,14713814,3870,13802460
00224900,DAVENPORT UNIVERSITY,MI,495129396,PRIVATE,1,1,2000,2,2030
00226000,FERRIS STATE UNIVERSITY,MI,493072251,PUBLIC,671,773,5494086,1430,5167895
00226800,GRAND VALLEY STATE UNIVERSITY,MI,494019403,PUBLIC,796,840,5394119,1530,5197493
00227000,HENRY FORD COMMUNITY COLLEGE,MI,481281495,PUBLIC,9,9,36150,15,32726
00227300,HOPE COLLEGE,MI,494233607,PRIVATE,334,336,3803703,628,3714492
00227500,KALAMAZOO COLLEGE,MI,490063295,PRIVATE,109,111,1429216,311,1400870
00227600,KELLOGG COMMUNITY COLLEGE,MI,490173397,PUBLIC,3,3,11000,5,9500
00227800,LANSING COMMUNITY COLLEGE,MI,489331293,PUBLIC,128,142,658176,217,636716
00228800,ROCHESTER COLLEGE,MI,483072764,PRIVATE,79,79,611883,154,564719
00229200,MICHIGAN TECHNOLOGICAL UNIVERSITY,MI,499311295,PUBLIC,408,426,4041952,806,3894353
00229300,LAKE SUPERIOR STATE UNIVERSITY,MI,497831691,PUBLIC,261,270,1619858,502,1523550
00230100,NORTHERN MICHIGAN UNIVERSITY,MI,498555316,PUBLIC,453,490,3030891,881,2872586
00230700,OAKLAND UNIVERSITY,MI,483094401,PUBLIC,305,336,1956643,574,1770221
00231400,SAGINAW VALLEY STATE UNIVERSITY,MI,487100001,PUBLIC,309,339,2050337,633,1895698
00232500,UNIVERSITY OF MICHIGAN - ANN ARBOR,MI,481091340,PUBLIC,1323,1750,20489801,2932,19884154
00232600,UNIVERSITY OF MICHIGAN - DEARBORN,MI,481282406,PUBLIC,105,127,568363,211,537029
00232700,UNIVERSITY OF MICHIGAN - FLINT,MI,485021950,PUBLIC,94,103,414232,182,406196
00233000,WESTERN MICHIGAN UNIVERSITY,MI,490083899,PUBLIC,5235,7389,68019138,13747,64202885
00890600,MACOMB COMMUNITY COLLEGE,MI,480883896,PUBLIC,0,0,0,0,0
00894600,PORT HURON COSMETOLOGY COLLEGE,MI,483291618,PROPRIETARY,9,9,15260,16,15260
01082700,DAVID PRESSLEY PROFESSIONAL SCHOOL OF COSMETOLOGY,MI,480673219,PROPRIETARY,0,0,0,0,0
01239900,LEWIS COLLEGE OF BUSINESS,MI,482351498,PRIVATE,9,10,43702,18,41317
01321800,M.J. MURPHY BEAUTY COLLEGE OF MOUNT PLEASANT,MI,488582502,PROPRIETARY,3,3,15000,4,15000
02125600,MICHIGAN COLLEGE OF BEAUTY,MI,480835210,PROPRIETARY,31,33,107976,53,101029
02135000,MARQUETTE GENERAL HOSPITAL SCHOOL OF RADIOGRAPHY,MI,498550200,PRIVATE,2,3,11600,4,9600
02594600,HOWELL COLLEGE OF COSMETOLOGY,MI,488438584,PROPRIETARY,3,3,20140,6,20140
02595700,HILLSDALE BEAUTY COLLEGE,MI,492420000,PROPRIETARY,1,1,3600,2,3600
03075200,TWIN CITY BEAUTY COLLEGE,MI,490853305,PROPRIETARY,27,29,184400,49,155577
03110300,SALON ACADEMY (THE),MI,490361139,PROPRIETARY,1,1,3400,2,3400
03490300,PAUL MITCHELL THE SCHOOL ESCANABA,MI,498290000,PROPRIETARY,0,0,0,0,0
03907300,PAUL MITCHELL THE SCHOOL GREAT LAKES,MI,480600000,PROPRIETARY,21,21,143904,34,132031
03915300,CAREER QUEST LEARNING CENTER,MI,489104732,PROPRIETARY,0,0,0,0,0
04006300,NUVO COLLEGE OF COSMETOLOGY,MI,494413822,PROPRIETARY,5,5,17866,8,17942
00233600,BEMIDJI STATE UNIVERSITY,MN,566012699,PUBLIC,88,98,507277,170,463383
00235300,GUSTAVUS ADOLPHUS COLLEGE,MN,560821498,PRIVATE,202,209,2600788,375,2540268
00236700,MINNESOTA STATE UNIVERSITY MOORHEAD,MN,565630001,PUBLIC,173,197,1005034,349,970304
00238800,UNIVERSITY OF MINNESOTA  DULUTH,MN,558122496,PUBLIC,1525,1631,10557169,2995,10099859
00238900,UNIVERSITY OF MINNESOTA - MORRIS,MN,562672113,PUBLIC,35,39,298909,67,299183
00396900,UNIVERSITY OF MINNESOTA - TWIN CITIES,MN,554550422,PUBLIC,3448,4024,23943688,7204,22683857
00406900,UNIVERSITY OF MINNESOTA - CROOKSTON,MN,567165001,PUBLIC,25,28,149108,48,140195
00464800,RASMUSSEN COLLEGE - EAGAN,MN,551221346,PROPRIETARY,12,14,108022,31,94800
00554100,MINNESOTA STATE COMMUNITY AND TECHNICAL COLLEGE,MN,565731405,PUBLIC,116,130,602004,206,551158
00575900,NORTHWEST TECHNICAL COLLEGE - BEMIDJI,MN,566014907,PUBLIC,16,20,72269,32,70107
