UNITID,XSCFA1N,SCFA1N,XSCFA1P,SCFA1P,XSCFA11N,SCFA11N,XSCFA11P,SCFA11P,XSCFA12N,SCFA12N,XSCFA12P,SCFA12P,XSCFA13N,SCFA13N,XSCFA13P,SCFA13P,XSCFA14N,SCFA14N,XSCFA14P,SCFA14P,XSCFA2,SCFA2,XSCFY1N,SCFY1N,XSCFY1P,SCFY1P,XSCFY2,SCFY2,XANYAIDN,ANYAIDN,XANYAIDP,ANYAIDP,XTOTGRNT,TOTGRNT,XTSTDPEL,TSTDPEL,XFGRNT_N,FGRNT_N,XFGRNT_P,FGRNT_P,XFGRNT_A,FGRNT_A,XSGRNT_N,SGRNT_N,XSGRNT_P,SGRNT_P,XSGRNT_A,SGRNT_A,XIGRNT_N,IGRNT_N,XIGRNT_P,IGRNT_P,XIGRNT_A,IGRNT_A,XLOAN_N,LOAN_N,XLOAN_P,LOAN_P,XLOAN_A,LOAN_A,XAGRNT_N,AGRNT_N,XAGRNT_P,AGRNT_P,XAGRNT_A,AGRNT_A,XPGRNT_N,PGRNT_N,XPGRNT_P,PGRNT_P,XPGRNT_A,PGRNT_A,XOFGRT_N,OFGRT_N,XOFGRT_P,OFGRT_P,XOFGRT_A,OFGRT_A,XFLOAN_N,FLOAN_N,XFLOAN_P,FLOAN_P,XFLOAN_A,FLOAN_A,XOLOAN_N,OLOAN_N,XOLOAN_P,OLOAN_P,XOLOAN_A,OLOAN_A,XSCUGFFN,SCUGFFN,XSCUGRAD,SCUGRAD,XSCUGFFP,SCUGFFP 
182564,"R",301,"R",6,"Z",0,"Z",0,"R",285,"R",95,"R",11,"R",4,"R",5,"R",2,"R",4820,"A",,"A",,"A",,"R",212,"R",70,"R",1395145,"R",640,"R",96,"R",32,"R",2420,"R",145,"R",48,"R",1084,"R",76,"R",25,"R",1391,"R",33,"R",11,"R",4121,"R",200,"R",66,"R",2476,"R",69,"R",23,"R",2844,"R",27,"R",9,"R",1337,"R",33,"R",11,"R",4121,"Z",0,"Z",0,"A",,"R",301,"R",4820,"R",6
182634,"R",378,"R",40,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",942,"A",,"A",,"A",,"R",335,"R",89,"R",12939578,"R",198,"R",88,"R",23,"R",4242,"R",67,"R",18,"R",1150,"R",325,"R",86,"R",14287,"R",309,"R",82,"R",7047,"R",327,"R",87,"R",15576,"R",88,"R",23,"R",2575,"R",71,"R",19,"R",2067,"R",307,"R",81,"R",3629,"R",88,"R",23,"R",12084,"R",378,"R",942,"R",40
182652,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",57,"R",57,"R",100,"R",32,"R",56,"R",92590,"R",24,"R",14,"R",25,"R",3469,"Z",0,"Z",0,"A",,"Z",0,"Z",0,"A",,"R",31,"R",54,"R",8448,"R",14,"R",25,"R",3469,"R",14,"R",25,"R",3469,"Z",0,"Z",0,"A",,"R",29,"R",51,"R",5422,"R",13,"R",23,"R",8049,"R",57,"R",100,"R",57
182661,"R",243,"R",29,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",843,"A",,"A",,"A",,"R",240,"R",99,"R",7602236,"R",196,"R",65,"R",27,"R",3696,"R",40,"R",16,"R",1110,"R",238,"R",98,"R",11780,"R",201,"R",83,"P",4909,"R",239,"R",98,"R",12922,"R",63,"R",26,"R",2691,"R",55,"R",23,"R",1285,"R",196,"R",81,"P",2981,"R",75,"R",31,"P",5364,"R",243,"R",843,"R",29
182670,"R",1119,"R",27,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",4164,"A",,"A",,"A",,"R",692,"R",62,"R",60878838,"R",603,"R",216,"R",19,"R",5107,"R",25,"R",2,"R",850,"R",538,"R",48,"R",28826,"R",394,"R",35,"R",4402,"R",665,"R",59,"R",25011,"R",159,"R",14,"R",3111,"R",214,"R",19,"R",2844,"R",287,"R",26,"R",3318,"R",192,"R",17,"R",4073,"R",1119,"R",4164,"R",27
182704,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",65,"R",35,"R",186,"R",54,"R",83,"R",163461,"R",76,"R",29,"R",45,"R",1980,"Z",0,"Z",0,"A",,"Z",0,"Z",0,"A",,"R",41,"R",63,"R",5085,"R",29,"R",45,"R",1980,"R",29,"R",45,"R",1980,"Z",0,"Z",0,"A",,"R",41,"R",63,"R",4234,"R",5,"R",8,"R",6975,"R",65,"R",186,"R",35
182722,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",67,"R",37,"R",180,"R",58,"R",87,"R",181914,"R",78,"R",37,"R",55,"R",2499,"Z",0,"Z",0,"A",,"Z",0,"Z",0,"A",,"R",55,"R",82,"R",4880,"R",37,"R",55,"R",2499,"R",37,"R",55,"R",2499,"Z",0,"Z",0,"A",,"R",55,"R",82,"R",4272,"R",4,"R",6,"R",8354,"R",67,"R",180,"R",37
182795,"R",524,"R",23,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",2238,"A",,"A",,"A",,"R",521,"R",99,"R",22122552,"R",529,"R",118,"R",23,"R",3827,"R",79,"R",15,"R",999,"R",510,"R",97,"R",12001,"R",458,"R",87,"R",9017,"R",510,"R",97,"R",13041,"R",118,"R",23,"R",2665,"R",97,"R",19,"R",1413,"R",449,"R",86,"R",3694,"R",175,"R",33,"R",14122,"R",524,"R",2238,"R",23
182865,"R",636,"R",17,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",3686,"A",,"A",,"A",,"R",452,"R",71,"R",4718377,"R",1475,"R",263,"R",41,"R",3088,"R",106,"R",17,"R",1335,"R",55,"R",9,"R",856,"R",435,"R",68,"R",9237,"R",309,"R",49,"R",3239,"R",261,"R",41,"R",2907,"R",134,"R",21,"R",399,"R",429,"R",67,"R",7333,"R",90,"R",14,"R",9691,"R",636,"R",3686,"R",17
182883,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",13,"R",27,"R",49,"R",12,"R",92,"R",46170,"R",13,"R",7,"R",54,"R",3329,"Z",0,"Z",0,"A",,"Z",0,"Z",0,"A",,"R",10,"R",77,"R",6518,"R",7,"R",54,"R",3329,"R",7,"R",54,"R",3329,"Z",0,"Z",0,"A",,"R",10,"R",77,"R",5418,"R",1,"R",8,"R",11000,"R",13,"R",49,"R",27
