OPE ID,School,State,Zip Code,School Type,Recipients,# of Loans Originated,$ of Loans Originated,# of Disbursements,$ of Disbursements
03419300,WESTERN MASS PRECISION INSTITUTE,MA,010899022,PRIVATE,3,3,18984,3,9492
03504300,NATIONAL GRADUATE SCHOOL OF QUALITY MANAGEMENT (THE),MA,025402958,PRIVATE,0,0,0,0,0
03570500,ZION BIBLE COLLEGE,MA,018350000,PRIVATE,3,3,16800,6,16800
00143600,CAPITOL COLLEGE,MD,207089759,PRIVATE,40,42,413831,74,388281
00146200,WASHINGTON BIBLE COLLEGE,MD,207063599,PRIVATE,13,14,91442,21,84446
00205700,ALLEGANY COLLEGE OF MARYLAND,MD,215022596,PUBLIC,68,72,352333,122,328097
00205800,ANNE ARUNDEL COMMUNITY COLLEGE,MD,210121895,PUBLIC,11,11,41029,19,39029
00206000,BALTIMORE HEBREW UNIVERSITY,MD,212153996,PRIVATE,0,0,0,0,0
00206200,BOWIE STATE UNIVERSITY,MD,207159465,PUBLIC,2,2,14346,4,14346
00206300,COMMUNITY COLLEGE OF BALTIMORE COUNTY,MD,212285381,PUBLIC,23,24,86199,45,84874
00206400,COLLEGE OF SOUTHERN MARYLAND,MD,206460910,PUBLIC,14,16,46929,28,38645
00206500,COLLEGE OF NOTRE DAME OF MARYLAND,MD,212102476,PRIVATE,67,74,599756,124,574166
00206700,WASHINGTON ADVENTIST UNIVERSITY,MD,209127796,PRIVATE,74,79,668936,138,646434
00206800,COPPIN STATE UNIVERSITY,MD,212163698,PUBLIC,80,88,587272,159,574726
00207100,FREDERICK COMMUNITY COLLEGE,MD,217029745,PUBLIC,10,13,47160,18,45240
00207200,FROSTBURG STATE UNIVERSITY,MD,215321099,PUBLIC,440,465,3040160,858,2832965
00207300,GOUCHER COLLEGE,MD,212042794,PRIVATE,213,230,2343546,418,2263544
00207400,HAGERSTOWN COMMUNITY COLLEGE,MD,217426590,PUBLIC,8,8,37955,14,37955
00207500,HARFORD COMMUNITY COLLEGE,MD,210151696,PUBLIC,0,0,0,0,0
00207600,HOOD COLLEGE,MD,217018575,PRIVATE,6,6,33073,11,33073
00207700,JOHNS HOPKINS UNIVERSITY,MD,212182693,PRIVATE,402,435,7025090,812,6912927
00207800,LOYOLA UNIVERSITY MARYLAND,MD,212102699,PRIVATE,639,677,9919052,1252,9805692
00208000,MARYLAND INSTITUTE COLLEGE OF ART,MD,212174191,PRIVATE,329,354,4548672,652,4373036
00208300,MORGAN STATE UNIVERSITY,MD,212510002,PUBLIC,472,498,4485340,895,4294525
00208600,MOUNT SAINT MARY'S UNIVERSITY,MD,217277799,PRIVATE,229,255,2679695,472,2543993
00208700,NER ISRAEL RABBINICAL COLLEGE,MD,212081198,PRIVATE,0,0,0,0,0
00208900,PRINCE GEORGE'S COMMUNITY COLLEGE,MD,207742199,PUBLIC,12,14,40174,24,38924
00209200,ST. JOHN'S COLLEGE,MD,214011655,PRIVATE,92,97,1485987,176,1430553
00209500,SAINT MARY'S COLLEGE OF MARYLAND,MD,206863001,PUBLIC,385,397,3849055,737,3728825
00209600,SAINT MARY'S SEMINARY & UNIVERSITY,MD,212101994,PRIVATE,0,0,0,0,0
00210200,UNIVERSITY OF BALTIMORE,MD,212015779,PUBLIC,3,4,22700,7,18700
00210300,"UNIVERSITY OF MARYLAND, COLLEGE PARK",MD,207425145,PUBLIC,1497,1590,15137569,2870,14822313
00210400,"UNIVERSITY OF MARYLAND, BALTIMORE",MD,212011691,PUBLIC,15,15,180870,29,180870
00210500,UNIVERSITY OF MARYLAND - BALTIMORE COUNTY,MD,212500002,PUBLIC,640,681,5182015,1196,5051811
00210700,STEVENSON UNIVERSITY,MD,211530641,PRIVATE,345,358,2563297,668,2451627
00210800,WASHINGTON COLLEGE,MD,216201197,PRIVATE,248,256,2891328,492,2804482
00210900,MCDANIEL COLLEGE,MD,211574390,PRIVATE,187,197,1844106,367,1797630
00691100,MONTGOMERY COLLEGE,MD,208501195,PUBLIC,27,28,134050,46,116300
00734100,INTERNATIONAL BEAUTY SCHOOL,MD,215022370,PROPRIETARY,1,1,2625,2,2625
00749100,TESST COLLEGE OF TECHNOLOGY,MD,212271063,PROPRIETARY,79,106,495672,211,442037
00793600,LINCOLN COLLEGE OF TECHNOLOGY,MD,210461544,PROPRIETARY,345,431,2779624,858,2768166
00817500,HOWARD COMMUNITY COLLEGE,MD,210443197,PUBLIC,10,10,31834,19,31834
00826300,AWARD BEAUTY SCHOOL,MD,217405624,PROPRIETARY,1,1,4000,1,2000
00830800,CECIL COLLEGE,MD,219011999,PUBLIC,2,2,8500,4,8500
01031900,MEDIX SCHOOL,MD,212042538,PROPRIETARY,52,53,210548,91,194580
01041000,TESST COLLEGE OF TECHNOLOGY,MD,212862201,PROPRIETARY,64,85,488506,189,442706
01164400,UNIVERSITY OF MARYLAND UNIVERSITY COLLEGE,MD,207838078,PUBLIC,1,1,4000,1,4000
02073900,WOR-WIC COMMUNITY COLLEGE,MD,218041486,PUBLIC,7,8,26120,11,22120
