unitid,"xscfa1n",scfa1n,"xscfa1p",scfa1p,"xscfa11n",scfa11n,"xscfa11p",scfa11p,"xscfa12n",scfa12n,"xscfa12p",scfa12p,"xscfa13n",scfa13n,"xscfa13p",scfa13p,"xscfa14n",scfa14n,"xscfa14p",scfa14p,"xscfa2",scfa2,"xscfy1n",scfy1n,"xscfy1p",scfy1p,"xscfy2",scfy2,"xanyaidn",anyaidn,"xanyaidp",anyaidp,"xfgrnt_n",fgrnt_n,"xfgrnt_p",fgrnt_p,"xfgrnt_a",fgrnt_a,"xsgrnt_n",sgrnt_n,"xsgrnt_p",sgrnt_p,"xsgrnt_a",sgrnt_a,"xigrnt_n",igrnt_n,"xigrnt_p",igrnt_p,"xigrnt_a",igrnt_a,"xloan_n",loan_n,"xloan_p",loan_p,"xloan_a",loan_a
189264,"R",30,"R",25,"B",,"B",,"B",,"B",,"B",,"B",,"R",30,"R",100,"R",120,"B",,"B",,"B",,"R",26,"R",87,"R",21,"R",70,"R",3180,"R",0,"R",0,"R",0,"R",26,"R",87,"R",1159,"R",0,"R",0,"R",0
189273,"R",34,"R",28,"B",,"B",,"B",,"B",,"B",,"B",,"R",34,"R",100,"R",122,"B",,"B",,"B",,"R",28,"R",82,"R",25,"R",74,"R",3528,"R",0,"R",0,"R",0,"R",26,"R",76,"R",1224,"R",0,"R",0,"R",0
189282,"R",3,"R",4,"B",,"B",,"B",,"B",,"B",,"B",,"R",3,"R",100,"R",80,"B",,"B",,"B",,"R",3,"R",100,"R",0,"R",0,"R",0,"R",1,"R",33,"H",,"R",3,"R",100,"R",3000,"R",1,"R",33,"H",
189404,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"R",58,"R",73,"R",79,"R",58,"R",100,"R",58,"R",100,"R",2204,"R",0,"R",0,"R",0,"R",32,"R",55,"R",100,"R",0,"R",0,"R",0
189413,"R",259,"R",23,"B",,"B",,"B",,"B",,"B",,"B",,"R",259,"R",100,"R",1143,"B",,"B",,"B",,"R",245,"R",95,"R",245,"R",95,"R",2372,"R",226,"R",87,"R",3111,"R",3,"R",1,"R",336,"R",0,"R",0,"R",0
189422,"R",190,"R",31,"B",,"B",,"B",,"B",,"B",,"B",,"R",190,"R",100,"R",621,"B",,"B",,"B",,"R",172,"R",91,"R",170,"R",89,"R",2600,"R",126,"R",66,"R",2603,"R",130,"R",68,"R",1638,"R",0,"R",0,"R",0
189459,"R",380,"R",26,"B",,"B",,"B",,"B",,"B",,"B",,"R",380,"R",100,"R",1480,"B",,"B",,"B",,"R",315,"R",83,"R",160,"R",42,"R",1216,"R",184,"R",48,"R",2155,"R",69,"R",18,"R",2474,"R",295,"R",78,"R",2249
189468,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"R",67,"R",57,"R",118,"R",56,"R",84,"R",31,"R",46,"R",2239,"R",5,"R",7,"R",6201,"A",,"B",,"A",,"R",42,"R",63,"R",3655
189547,"R",989,"R",18,"A",,"B",,"R",899,"R",91,"R",75,"R",8,"R",15,"R",2,"R",5555,"B",,"B",,"B",,"R",639,"R",65,"R",434,"R",44,"R",2133,"R",444,"R",45,"R",1101,"R",102,"R",10,"R",647,"R",331,"R",33,"R",2428
189556,"R",77,"R",28,"B",,"B",,"B",,"B",,"B",,"B",,"R",77,"R",100,"R",272,"B",,"B",,"B",,"R",64,"R",83,"R",50,"R",65,"R",2070,"R",64,"R",83,"R",2541,"R",10,"R",13,"R",3910,"R",58,"R",75,"R",4051
189574,"R",124,"R",37,"B",,"B",,"B",,"B",,"B",,"B",,"R",124,"R",100,"R",333,"B",,"B",,"B",,"R",112,"R",90,"R",104,"R",84,"R",1928,"R",110,"R",89,"R",2818,"R",42,"R",34,"R",2764,"R",109,"R",88,"R",3273
189583,"R",113,"R",37,"B",,"B",,"B",,"B",,"B",,"B",,"R",113,"R",100,"R",308,"B",,"B",,"B",,"R",98,"R",87,"R",105,"R",93,"R",2250,"R",110,"R",97,"R",2000,"R",22,"R",19,"R",2000,"R",100,"R",88,"R",2500
189592,"R",44,"R",29,"B",,"B",,"B",,"B",,"B",,"B",,"R",44,"R",100,"R",152,"B",,"B",,"B",,"R",38,"R",86,"R",31,"R",70,"R",1007,"R",34,"R",77,"R",1756,"R",20,"R",45,"R",681,"R",38,"R",86,"R",1500
189653,"R",22,"R",31,"B",,"B",,"B",,"B",,"B",,"B",,"R",22,"R",100,"R",70,"B",,"B",,"B",,"R",20,"R",91,"R",11,"R",50,"R",2231,"R",16,"R",73,"R",2145,"R",0,"R",0,"R",0,"R",10,"R",45,"R",2277
189705,"R",726,"R",22,"B",,"B",,"B",,"B",,"B",,"B",,"R",726,"R",100,"R",3329,"B",,"B",,"B",,"R",676,"R",93,"R",218,"R",30,"R",2760,"R",397,"R",55,"R",2539,"R",670,"R",92,"R",7033,"R",616,"R",85,"R",3626
189714,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"R",17,"B",,"B",,"B",,"B",,"R",10,"R",59,"R",2700,"R",0,"R",0,"B",,"R",0,"R",0,"B",,"R",12,"R",71,"R",2625
189787,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"R",786,"R",94,"R",833,"R",608,"R",77,"R",555,"R",71,"R",1542,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",608,"R",77,"R",2164
189802,"R",4,"R",44,"B",,"B",,"B",,"B",,"B",,"B",,"R",4,"R",100,"R",9,"B",,"B",,"B",,"R",2,"R",50,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"R",1,"R",25,"H",
