V6901,V6902,V7071,V7095,V7193,V7261,V7451,ER72001,ER72002,ER72022,ER72024,ER72164,ER72441,ER77631
3,56,1,1,6,1,28,1,1009,0,1,4,6,44.858
,,,,,,,1,1020,17,1,1,6,28.921
3,3035,0,1,1,1,34,,,,,,,
3,4613,0,1,0,2,30,1,6205,0,1,1,1,34.763
3,4614,0,1,0,2,30,1,6796,0,1,1,1,39.485
,,,,,,,1,8064,0,2,1,0,39.853
,,,,,,,1,6999,0,2,1,0,39.889
,,,,,,,1,6362,0,1,1,6,35.923
,,,,,,,1,9153,0,1,1,1,18.08
,,,,,,,1,5346,7,1,1,1,12.127
3,5675,3,1,1,1,31,,,,,,,
,,,,,,,1,9275,0,5,1,0,30.985
,,,,,,,1,4568,15,1,1,1,30.576
,,,,,,,1,9566,15,1,5,6,18.664
3,6146,0,1,1,1,29,,,,,,,
3,5137,0,4,4,1,31,,,,,,,
3,2244,15,1,1,1,31,,,,,,,
,,,,,,,1,2872,0,2,1,0,36.382
,,,,,,,1,2827,0,3,1,1,31.976
3,256,0,1,6,1,32,,,,,,,
,,,,,,,1,6786,9,4,1,0,30.684
3,177,2,1,1,1,18,,,,,,,
3,358,0,1,1,1,14,1,7202,0,1,4,4,31.822
,,,,,,,1,9363,11,1,1,3,15.224
,,,,,,,1,5896,4,1,1,1,16.663
3,127,14,1,6,1,21,1,2959,0,1,4,4,45.546
,,,,,,,1,3257,0,1,1,1,25.782
,,,,,,,1,3422,0,2,1,0,22.945
3,6325,0,3,0,5,26,,,,,,,
3,6282,5,6,0,2,26,,,,,,,
3,6281,1,6,0,2,22,,,,,,,
3,5816,0,1,1,1,11,,,,,,,
3,6258,0,3,6,1,11,,,,,,,
,,,,,,,1,5960,0,2,3,0,35.988
,,,,,,,1,5483,0,2,1,0,54.008
3,4473,0,1,5,1,12,,,,,,,
3,4605,6,1,6,1,12,,,,,,,
,,,,,,,1,8531,10,1,5,6,32.969
,,,,,,,1,8488,6,1,1,1,6.225
,,,,,,,1,4755,0,2,1,1,26.76
3,2410,11,1,1,1,30,,,,,,,
,,,,,,,1,2869,0,2,5,1,41.334
,,,,,,,1,5353,0,1,1,5,63.629
,,,,,,,1,5084,0,5,7,0,46.16
,,,,,,,1,7998,17,5,1,0,4.699
,,,,,,,1,8961,15,1,1,1,11.494
3,635,0,1,0,4,36,1,1094,0,4,4,0,81.438
3,6506,0,3,0,2,32,,,,,,,
3,419,0,6,0,3,36,,,,,,,
3,3812,0,5,0,4,30,,,,,,,
3,4836,0,5,0,4,28,,,,,,,
3,2606,8,1,1,1,33,,,,,,,
,,,,,,,1,4391,0,4,5,0,74.497
,,,,,,,1,3877,3,1,1,6,16.649
,,,,,,,1,3927,4,2,1,0,25.965
,,,,,,,1,3984,0,3,4,4,36.232
,,,,,,,1,1007,0,1,1,1,29.89
3,129,10,1,6,1,15,,,,,,,
3,2674,0,4,0,3,36,,,,,,,
3,2621,0,4,0,3,36,,,,,,,
3,266,0,6,0,3,32,,,,,,,
3,1916,15,1,1,1,30,,,,,,,
,,,,,,,1,2198,0,2,1,0,31.344
,,,,,,,1,2551,0,2,1,0,35.168
,,,,,,,1,1562,0,1,1,1,31.83
3,265,0,4,6,1,30,,,,,,,
3,1,0,1,0,4,29,,,,,,,
