OPE ID,School,State,Zip Code,School Type,Recipients,# of Loans Originated,$ of Loans Originated,# of Disbursements,$ of Disbursements
00275800,MANHATTAN COLLEGE,NY,104714098,Private-Nonprofit,725,1005,16683136,1692,16683136
00275900,MANHATTAN SCHOOL OF MUSIC,NY,100274689,Private-Nonprofit,115,116,3782897,225,3782897
00276000,MANHATTANVILLE COLLEGE,NY,105772132,Private-Nonprofit,266,283,4522934,520,4522934
00276300,MARIA COLLEGE,NY,122081798,Private-Nonprofit,23,29,226899,100,226899
00276500,MARIST COLLEGE,NY,126011387,Private-Nonprofit,596,662,15313392,1126,15313392
00276900,MARYMOUNT MANHATTAN COLLEGE,NY,100214597,Private-Nonprofit,554,641,14918895,1161,14918895
00277200,MERCY COLLEGE,NY,105221189,Private-Nonprofit,423,483,5993992,939,5993992
00277500,MOLLOY COLLEGE,NY,115701100,Private-Nonprofit,802,927,13949797,1652,13949797
00277700,MEDAILLE COLLEGE,NY,142142695,Private-Nonprofit,141,153,1364077,257,1364077
00277800,MOUNT SAINT MARY COLLEGE,NY,125503494,Private-Nonprofit,500,524,9437873,996,9437873
00277900,NAZARETH COLLEGE OF ROCHESTER,NY,146183790,Private-Nonprofit,427,494,8379411,842,8379411
00278200,NEW YORK INSTITUTE OF TECHNOLOGY,NY,115688000,Private-Nonprofit,671,778,12496881,1342,12496881
00278300,NEW YORK LAW SCHOOL,NY,100132960,Private-Nonprofit,-,-, -,-, -
00278400,NEW YORK MEDICAL COLLEGE,NY,105951600,Private-Nonprofit,-,-, -,-, -
00278500,NEW YORK UNIVERSITY,NY,100121091,Private-Nonprofit,4403,5718,158832887,9664,158832887
00278800,NIAGARA UNIVERSITY,NY,141092010,Private-Nonprofit,335,355,4571359,638,4571359
00279000,NYACK COLLEGE,NY,100041014,Private-Nonprofit,129,151,1717092,271,1717092
00279100,PACE UNIVERSITY,NY,100381598,Private-Nonprofit,2170,2643,48120122,4478,48120122
00279500,PAUL SMITH'S COLLEGE OF ARTS & SCIENCES,NY,129700000,Private-Nonprofit,158,165,2471740,304,2471740
00279800,PRATT INSTITUTE,NY,112053899,Private-Nonprofit,666,803,21686308,1399,21686308
00280300,RENSSELAER POLYTECHNIC INSTITUTE,NY,121803590,Private-Nonprofit,470,581,12569920,1033,12569920
00280500,ROBERTS WESLEYAN COLLEGE,NY,146241997,Private-Nonprofit,149,167,2014992,295,2014992
00280600,ROCHESTER INSTITUTE OF TECHNOLOGY,NY,146235608,Private-Nonprofit,1457,1484,27156052,2791,27156052
00280800,DAEMEN COLLEGE,NY,142263592,Private-Nonprofit,153,153,1602237,278,1602237
00281000,RUSSELL SAGE COLLEGE,NY,121804199,Private-Nonprofit,214,240,2854315,410,2854315
00281200,TROCAIRE COLLEGE,NY,142202094,Private-Nonprofit,57,59,558451,95,558451
00281300,SARAH LAWRENCE COLLEGE,NY,107085999,Private-Nonprofit,153,191,3756131,287,3756131
00281400,SKIDMORE COLLEGE,NY,128661632,Private-Nonprofit,100,109,2681703,197,2681703
00281500,SAINT BERNARD'S SCHOOL OF THEOLOGY AND MINISTRY,NY,146183822,Private-Nonprofit,-,-, -,-, -
